name,company,url,linkedin,email,source,trigger,status,first_contact,last_contact,notes
bhagyeshsp,,https://feedhammer.com,,,hn_algolia,Show HN: I scratched my own itch by solving a niche Basecamp problem,audit_completed,2026-07-31,2026-07-31,"Tier B: launch ICP - audit-first, NEVER ad-spend copy | score=6.9 grade=B worst=[4.0/5] Above Fold: no headline/CTA in first 3000 chars"
DmitryDolgopolo,,https://tryreadaloud.com,,,hn_algolia,"Show HN: ReadAloud – on-device, podcast-quality text-to-speech in the browser",audit_completed,2026-07-31,2026-07-31,"Tier B: launch ICP - audit-first, NEVER ad-spend copy | score=7.2 grade=B worst=[3.0/5] Ad Signals: GA4 only, no FB pixel/UTM/conversion call"
nyku,,https://competiflow.com/,,,hn_algolia,"Show HN: Competiflow – monitor competitor pricing, changelogs, blogs",audit_completed,2026-07-31,2026-07-31,"Tier B: launch ICP - audit-first, NEVER ad-spend copy | score=6.7 grade=B worst=[3.0/5] Ad Signals: GA4 only, no FB pixel/UTM/conversion call"
parweb,,https://1h-money-store.vercel.app/grader,,,hn_algolia,Show HN: A landing-page copy grader with no back end and no LLM,audit_completed,2026-07-31,2026-07-31,"Tier B: launch ICP - audit-first, NEVER ad-spend copy | score=6.7 grade=B worst=[4.0/5] Ad Signals: no recognized ad-tracking artifact"
ccheshirecat,,https://cygnus.run,,,hn_algolia,"Show HN: Cygnus – A fast, lightweight self-hostable serverless runtime and PaaS",audit_completed,2026-07-31,2026-07-31,"Tier B: launch ICP - audit-first, NEVER ad-spend copy | score=6.0 grade=C worst=[4.0/5] Above Fold: no headline/CTA in first 3000 chars"
rubenflamshep,,https://taste.rubenflamshepherd.com/,,,hn_algolia,Show HN: I built a blind taste test for Claude and Codex designs,audit_completed,2026-07-31,2026-07-31,"Tier B: launch ICP - audit-first, NEVER ad-spend copy | score=5.4 grade=C worst=[4.0/5] Above Fold: no headline/CTA in first 3000 chars"
boredyeti,,https://cosmos47.com/,,,hn_algolia,"Show HN: Cosmos47, a public chronological feed without algorithms",audit_completed,2026-07-31,2026-07-31,"Tier B: launch ICP - audit-first, NEVER ad-spend copy | score=6.4 grade=C worst=[4.0/5] Above Fold: no headline/CTA in first 3000 chars"
